username, created_at, lng, lat, text
EWhite_TheBrand, Tue Apr 21 15:01:40 +0000 2020, -80.178392, 26.039680, 🙏🏾
soulo_skarr, Tue Apr 21 15:01:40 +0000 2020, -117.319871, 34.057348, I had a bomb ass 420.. made the best outta it. It was beautiful 💚
FierroNicole, Tue Apr 21 15:01:40 +0000 2020, -104.922093, 39.713563, $1.00!!!!!
Scorpio_Finch, Tue Apr 21 15:01:40 +0000 2020, -96.761753, 32.819858, The only way some people learn is the hard way...
86Vicki, Tue Apr 21 15:01:40 +0000 2020, -77.493170, 37.529883, *tan
hoeenz, Tue Apr 21 15:01:40 +0000 2020, -157.799589, 21.319944, @mrpjinpajamas woow 👀
kimmytoronto, Tue Apr 21 15:01:40 +0000 2020, -79.272570, 43.629311, He should be required to go to all the stores first.
jdmoore45, Tue Apr 21 15:01:40 +0000 2020, -82.772830, 27.904263, @WHSCI @SenThomTillis Suffering and dying thanks to Thom telling us it was a hoax. He did no research on his own, j… https://t.co/tOcPk1j4Oe
mowoodier, Tue Apr 21 15:01:40 +0000 2020, -86.791549, 36.200008, @AlbericiSuzanne @FlatMatzley @StillCrankyAF @TN_Patricoa @MaintenanceJoh1 I’m the actual victim here
kissykiszka, Tue Apr 21 15:01:41 +0000 2020, -85.170051, 41.086917, truuuuueee https://t.co/SzZNPeO3zl
FlanaganKat, Tue Apr 21 15:01:41 +0000 2020, -98.540651, 29.417501, @bennnywennny "Enema, give 'em an enema."
weinstockjosh, Tue Apr 21 15:01:41 +0000 2020, -93.166616, 44.818478, my professor got mad at me for emailing his school account and not know he exclusively used his “yahoo mail” account
Pammie3333, Tue Apr 21 15:01:41 +0000 2020, -98.123250, 29.705614, @WhiteHouse @realDonaldTrump Trump can’t get more testing supplies. He’s incapable of doing it. So instead he’s acc… https://t.co/Eo24cfGSyC
thetonysotoshow, Tue Apr 21 15:01:41 +0000 2020, -118.411907, 34.020789, @Tullymane @ChurchofSatan @devil_texas @moachia You are so stupid.
radyjoel, Tue Apr 21 15:01:41 +0000 2020, -81.220009, 28.904590, Yo que hoy me levanté motivado y feliz. 🥺
gg_colorado, Tue Apr 21 15:01:41 +0000 2020, -104.922093, 39.713563, @vinnyg71284 @LoanCareLLC @KamalaHarris @NYGovCuomo @AOC @Chase @BankofAmerica I know! They are not assisting! Cong… https://t.co/MY65XVIRt7
jerrybarnaby, Tue Apr 21 15:01:41 +0000 2020, -86.456338, 36.985429, Easy one.  #wrzLBR#wkulittlebigred@wkulittlebigred#TogetherWKUstaff#wkustaffsenate#wku @ Western Kentucky Univ… https://t.co/FtTOkBjndG
1celticwomyn, Tue Apr 21 15:01:41 +0000 2020, -83.173867, 32.678207, WTAF!!  They in the SHALLOW end of the gene pool?
victoria_infant, Tue Apr 21 15:01:41 +0000 2020, -118.079306, 34.117279, La cosa está tan crítica en casa que el otro día mi esposo me reclamó que por qué soy yo la única que sale al súper 😂
Bossa8293, Tue Apr 21 15:01:41 +0000 2020, -81.367773, 28.501678, @c9at0 @288I952 @4lfee @rltyczk @Snake__Plisken @holly_organized @DuckAlertsNOW @this_vid
GregoryGLake, Tue Apr 21 15:01:41 +0000 2020, -73.968542, 40.780709, @SpeakerPelosi @AC360 @SpeakerPelosi Respectfully Again ... #StimulusCheck Situation is an Absolute Mess -   PLEASE… https://t.co/TPCuggZcld
hydro88wr, Tue Apr 21 15:01:42 +0000 2020, -80.122355, 26.301198, Maxwell kinda day
JohnTorresII, Tue Apr 21 15:01:42 +0000 2020, -73.948775, 40.655138, @A_roberto31 I don't mind arod buying the Mets, but JLo is supposed to be BX through and through, Jenny from the Block! SMH
_lizethgpe, Tue Apr 21 15:01:42 +0000 2020, -107.342056, 24.662488, this is my fav video 🥰 TLA WHOOOO?? https://t.co/ZHa9rsPSLK
greeneyedbrahma, Tue Apr 21 15:01:42 +0000 2020, -79.420865, 38.003376, @ShawnVee07 @TallGirl6262 @GovKemp yep...but make them all stay together for like three weeks so they don’t hurt an… https://t.co/TZTNbSrNwG
_vanillavixen_, Tue Apr 21 15:01:42 +0000 2020, -85.768241, 37.822244, *failed to send* Ahhhhh HOME
toddotto, Tue Apr 21 15:01:42 +0000 2020, -86.142922, 39.779562, #BadJamesBondPickUpLinesI'm James Bond
beachmusings58, Tue Apr 21 15:01:42 +0000 2020, -123.029015, 44.935084, @TravisMayfield Daily taxi driver
HonestGrandma37, Tue Apr 21 15:01:42 +0000 2020, -80.516060, 27.872898, Get facts straight. We are not motivated by racism.  @realDonaldTrump is best President we ever had. I am part Hisp… https://t.co/FZuUWl5N5D
TheOGDimbo, Tue Apr 21 15:01:42 +0000 2020, -84.539813, 39.137038, These are 🥵
neeksGotCheeks_, Tue Apr 21 15:01:42 +0000 2020, -90.011008, 29.982601, Somebody pissed her off early!
david_maurizio, Tue Apr 21 15:01:42 +0000 2020, -77.604684, 41.117936, @Mirrorrorrim9 @Alyssa_Milano @PressSec Ok bot. See you in November. 😘
kvngLance_, Tue Apr 21 15:01:42 +0000 2020, -77.467724, 37.637007, Happy Birthday 🎁🎈🎂🎊🎉 😍❤️
MartyInVancity, Tue Apr 21 15:01:42 +0000 2020, -122.818486, 49.111519, @turk3655 Cudos if u get it https://t.co/Mlh5yEcNCj
faseidl, Tue Apr 21 15:01:42 +0000 2020, -83.729972, 42.270839, @johnpavlovitz John Prine shook me.
laurahughes1919, Tue Apr 21 15:01:42 +0000 2020, -95.446486, 29.838495, @LeeHolly81 @realDonaldTrump Fox is reporting the real news - unlike the fake media who showed stock pictures of th… https://t.co/vBQIpFsEpb
satscribe, Tue Apr 21 15:01:42 +0000 2020, -98.540651, 29.417501, Penny deserves her own show. @dpshow https://t.co/3jUp92uCyV
cherylhofmann, Tue Apr 21 15:01:42 +0000 2020, -72.664894, 40.937123, @Wanda_justWanda Thanks my friend nice to know there are others out there fighting this fight with this virus 🦠 her… https://t.co/VE3sYNTATG
HUMBLEMASE, Tue Apr 21 15:01:42 +0000 2020, -83.173867, 32.678207, I highly agree
Kingsleyfield78, Tue Apr 21 15:01:43 +0000 2020, -80.137196, 25.956118, @SoLatinBarbie Very classy
nikewedoit7, Tue Apr 21 15:01:43 +0000 2020, -76.507809, 37.090301, *SAD in concert
ZiaComics, Tue Apr 21 15:01:43 +0000 2020, -106.778917, 32.310064, Looking for something different to entertain yourself and the kids while quarantined?  The puppets were added to th… https://t.co/38V4Ahrvxo
BigelowReviews, Tue Apr 21 15:01:43 +0000 2020, -80.751788, 41.037098, @CoachVallas @TomFranken21 Nah man, Charlie Batch in his prime lol
WallyHussain, Tue Apr 21 15:01:43 +0000 2020, -87.732013, 41.833585, @iamstones_ @Tatum_MVP @Kareem_captain1 @Original_Gio @Marc_DAmico @KendrickPerkins The bulls were 11-7 in games Jo… https://t.co/YpvfZRqajQ
shanboody, Tue Apr 21 15:01:43 +0000 2020, -118.411907, 34.020789, Gil! Good morning and helloooooo
spendmydollar, Tue Apr 21 15:01:43 +0000 2020, -84.612392, 34.011077, She missing everything in quarantine except you
SAIndiana, Tue Apr 21 15:01:43 +0000 2020, -86.142922, 39.779562, Shout out to the @Indytwomen North Office team for helping us get a big load of food boxes to our @SAEagleCreek pan… https://t.co/jRT6yEPJY3
givememore_no, Tue Apr 21 15:01:43 +0000 2020, -95.940918, 41.140107, I fit into my jeans that I couldn’t fit into even before I was pregnant... ok yes ma’am 😏
SeanWright82, Tue Apr 21 15:01:44 +0000 2020, -84.433106, 33.767195, When will the NCAA just pay college athletes? Jalen Green May have opened the door and others may follow.… https://t.co/cJOrLcTzHT
Coachrags29, Tue Apr 21 15:01:44 +0000 2020, -74.724323, 40.073041, @jkoching20 follow back
rebeccacoutcher, Tue Apr 21 15:01:44 +0000 2020, -86.142922, 39.779562, @xavierbehavior Done.
pawf1067, Tue Apr 21 15:01:44 +0000 2020, -98.486394, 29.689818, @jelevision @Rachael_Conrad Seriously.
JasonSirotin, Tue Apr 21 15:01:44 +0000 2020, -71.047500, 43.222800, Dylan’s first stock trade! Go Dylan. #nintendo @ Barrington, New Hampshire https://t.co/0DlxU7nhjZ
michelleleew, Tue Apr 21 15:01:44 +0000 2020, -73.868811, 45.453108, Education, literacy &amp; Monogramyhttps://t.co/3wq5vAqp6c
danieljtgallen, Tue Apr 21 15:01:44 +0000 2020, -75.117998, 40.004866, more coronavirus relief help from the #Eagles
josephjones841, Tue Apr 21 15:01:44 +0000 2020, -79.861034, 35.170499, I miss NBA season😭🏀 #DubNation #curry4life @StephenCurry30
ytinnirtcruz, Tue Apr 21 15:01:44 +0000 2020, -73.207838, 41.259947, my work days consist of me getting an iced coffee cause i need caffeine so i don’t get a headache, it causing sever… https://t.co/lXbR7MJi8t
Cookies04, Tue Apr 21 15:01:44 +0000 2020, -122.332647, 49.055681, Start your day with THRIVE LIFESTYLE MIX - Step 2️⃣ of our THRIVE Experience.⁠⁣⁣⁣- 6 tasty flavors⁠⁣- Ultra Micr… https://t.co/mGmENAOrNQ
boyblk_, Tue Apr 21 15:01:44 +0000 2020, -97.285913, 32.779967, @ripcavanbrady The fake smoking ...
mommydog67, Tue Apr 21 15:01:44 +0000 2020, -79.909348, 39.851558, @realDonaldTrump @nytimes People are muting the sound when your lying, bragging ass takes a turn. We're here for Dr… https://t.co/XsOUPxwIxP
MarshallRacing_, Tue Apr 21 15:01:44 +0000 2020, -100.076888, 31.168893, John (reporter) stating at the briefing, exactly what was said on “hot mic”.  🤷🏻‍♀️https://t.co/SiSjFobJDN
lough_tary, Tue Apr 21 15:01:44 +0000 2020, -110.915573, 32.189391, Okay knucklehead look. This isn't at all like ww2 and the comparisons are silly.
ACEAcademyATX, Tue Apr 21 15:01:44 +0000 2020, -97.747133, 30.308226, Just a reminder to register for our Get Active for ACE 2020 virtual fundraiser! #getactiveforace #workout… https://t.co/HRtw0LZeSh
ForeverTrill405, Tue Apr 21 15:01:44 +0000 2020, -97.552161, 35.482844, I can honestly go back to Langston since they have a real band director. Mr.B wasn’t it when I was there... I fw Gordon tuff 😤
Emiko_Swag, Tue Apr 21 15:01:45 +0000 2020, -122.330602, 47.614817, @Wagster1316 @XXL Lmaoooo
apukwa, Tue Apr 21 15:01:45 +0000 2020, -122.883424, 49.300305, @AwesomeBiota Soft and yummy
murfquia, Tue Apr 21 15:01:44 +0000 2020, -74.322794, 40.307615, @CrazyFunnyVidzz @ResisterSis20 https://t.co/Li6kRgYsfv
SFbrian415, Tue Apr 21 15:01:45 +0000 2020, -122.435979, 37.770657, @Braxtondc7 @mathewrodriguez Oh that’s a lot
bigherbbaseball, Tue Apr 21 15:01:45 +0000 2020, -88.142512, 41.519556, @TaxedThoughts @CoachNellie43 Ha shaming someone is putting their name on it. Subtweeting a situation creates aware… https://t.co/ZBtT19cUNm
IchiBranFlex, Tue Apr 21 15:01:45 +0000 2020, -82.330269, 29.673172, One year ago today we lost Prince 😭
Lmc30807732, Tue Apr 21 15:01:45 +0000 2020, -100.076888, 31.168893, Bleach kills AIDS.. do yes
StellarStefan, Tue Apr 21 15:01:46 +0000 2020, -84.433106, 33.767195, Phenomenal leadership! 👏🏾 👏🏾 👏🏾
Linebacker_U, Tue Apr 21 15:01:46 +0000 2020, -79.730389, 40.317334, @Bainsco Doesn’t concern you now that you’re a flapping head Canuck
dreyno16, Tue Apr 21 15:01:46 +0000 2020, -89.906309, 38.605964, @JonahDispatch @MichaelRStrain Tell JGII:  it is reassuring to me that you all appear to be relatively normal peopl… https://t.co/C64kIrdgYT
tapbot_paul, Tue Apr 21 15:01:46 +0000 2020, -97.103139, 33.030083, @NolanOBrien system() 😛
killa__gigi, Tue Apr 21 15:01:46 +0000 2020, -121.873730, 37.331159, 🗣Got me traumatized think’n every nigga like youuuuuu 🙏🏽🔫😈 4/20 smoke 💨 https://t.co/SwAvo9DVor
Jaimeeee____, Tue Apr 21 15:01:46 +0000 2020, -87.741012, 41.509839, What happened to the birds in the morning
mtviewpoint, Tue Apr 21 15:01:46 +0000 2020, -117.191191, 34.257528, @realDonaldTrump Remember the majority of Americans voted against you and think you are incompetent and corrupt.
ldiddy195, Tue Apr 21 15:01:46 +0000 2020, -85.170051, 41.086917, Y’all see the pure terror in his face🤣🤣
wkbc2m, Tue Apr 21 15:01:46 +0000 2020, -77.859133, 39.279126, @SheriffChody LOL Good one! Sure are alot of back straps in that field! 😁
DeVosburg, Tue Apr 21 15:01:46 +0000 2020, -122.971884, 46.727290, @mgrant76308 🤣🤣🤣
AngeliqueMGR, Tue Apr 21 15:01:46 +0000 2020, -87.732013, 41.833585, @GenoAlanis Buenos días Geno! 🤗😘☕️
madypattten, Tue Apr 21 15:01:46 +0000 2020, -88.442795, 41.094837, @emilyhopwood8 🤪
VincentJuarez69, Tue Apr 21 15:01:46 +0000 2020, -87.732013, 41.833585, @johniadarola 140k?
digbigger, Tue Apr 21 15:01:46 +0000 2020, -85.231089, 43.096626, Make D&amp;D a mmorpg for mobile
GatorlandToyota, Tue Apr 21 15:01:46 +0000 2020, -82.330269, 29.673172, Travis is very happy with his beautiful, brand new 2020 #Toyota #Tundra #Limited 🤩 Congratulations and welcome to t… https://t.co/Fp2sB0OwUF
Mariapeet2, Tue Apr 21 15:01:46 +0000 2020, -86.680738, 32.576227, Gloyalist  supply chain being remove https://t.co/AtQZW6Qxv9
WeRDCustoms, Tue Apr 21 15:01:43 +0000 2020, -77.604684, 41.117936, @Jralexandr @SOLELINKS I made it
andyzonesix, Tue Apr 21 15:01:47 +0000 2020, -83.173867, 32.678207, so i tried to make auntie Tab's carrot bacon...
PattiScott9, Tue Apr 21 15:01:47 +0000 2020, -111.931711, 34.168253, #NotMyPresident
tmj_ctg_cler, Tue Apr 21 15:01:47 +0000 2020, -73.362008, 42.195980, This #Clerical job might be a great fit for you. Click the link in our bio to see it and more. Rehab Office Coordin… https://t.co/rCAYiN3Psr
alinnzy, Tue Apr 21 15:01:47 +0000 2020, -117.700903, 34.071742, @maydaymindy9 Oh yes I am ok but I would be better if I could refill my prescription for plaquenil my pharmacist to… https://t.co/sGKiDYMGMu
itsAutty, Tue Apr 21 15:01:47 +0000 2020, -82.442694, 27.996595, @BreeSunshinee_ Premium level READ
carlitaharrlita, Tue Apr 21 15:01:47 +0000 2020, -98.557622, 29.581808, Admittedly, I’ve been complaining about how my birthday is going to be lame this year because of social distancing,… https://t.co/5i8o6YeRjA
steph_curreri, Tue Apr 21 15:01:47 +0000 2020, -74.994539, 39.847137, I prefer a book I can hold.
oldavis11, Tue Apr 21 15:01:47 +0000 2020, -105.550890, 38.997936, @MayorHancock @Mekialaya Ok Mr. Mayor !
tmj_ri_retail, Tue Apr 21 15:01:47 +0000 2020, -71.523985, 41.712933, Dollar General Corporation is looking for teammates like you. See our latest #Retail job openings, including "ASST… https://t.co/uXLlxNYJpf
mslr4ever, Tue Apr 21 15:01:47 +0000 2020, -74.209249, 40.143253, @LunaRose2020 And it sounds like a very important job!!!🤣🤣🤣❤❤❤🌹
William04078278, Tue Apr 21 15:01:47 +0000 2020, -80.262688, 40.861244, @Babystring3 @tangledblues @krisriis Siri is  a moron too. You don’t like it don’t do it.
untipsyteacher, Tue Apr 21 15:01:47 +0000 2020, -93.301344, 44.824469, @legohelmet Have fun!
battenh6, Tue Apr 21 15:01:47 +0000 2020, -96.347781, 30.665858, @woodsidewasp @elpollolocojr @iMxrtinez @RapSheet :/ https://t.co/PsdeILyPci
Margare71531078, Tue Apr 21 15:01:41 +0000 2020, -82.669467, 40.365160, @kellimiles__ What a guy tho. He was for real underrated
RolandLeBel, Tue Apr 21 15:01:48 +0000 2020, -71.341059, 46.855857, @CayerFrancine C’est le pauvre muedzzin qui doit être déçu de ne pas pouvoir, cinq fois par jour, du haut de son mi… https://t.co/ZPZbXn8Fct
galleg000s, Tue Apr 21 15:01:48 +0000 2020, -120.490340, 35.027930, @GSSalyer @NBA I like it, Malone was always good for 25 pts &amp; 10 reb
mistersealey, Tue Apr 21 15:01:48 +0000 2020, -96.574593, 39.209929, @CrystalItsClear Lol like sis. We know your LS running 😂😂😂 “just to see if it worked” 😂😂😂
BubblesUp, Tue Apr 21 15:01:48 +0000 2020, -74.043062, 40.152739, Wish I was hosting a Zoom session. You can now invite one of the animals from BSA @philmont to be a guest. 😃 https://t.co/6484BPW97f
aggreko07, Tue Apr 21 15:01:48 +0000 2020, -96.761753, 32.819858, @1053SS @1053thefan @fishsports I hate what Jerry Jones did, but lets not act like Jimmy didnt play an equal role in that fiasco.
x_mondoo, Tue Apr 21 15:01:48 +0000 2020, -76.069946, 36.802541, 🤣🤣😂
caisheaton, Tue Apr 21 15:01:48 +0000 2020, -82.442694, 27.996595, ☀️🌻 #tuesdayvibes #ImmigrationBan #Immigration #COVID #podcasting #podcast @anchor @Spotify @ApplePodcasts https://t.co/nTeYwg2S3v
JrPens91, Tue Apr 21 15:01:48 +0000 2020, -80.068196, 40.500806, Looking at a 1:30-5:30 EST stream today. See ya then!
patdevarso, Tue Apr 21 15:01:48 +0000 2020, -74.189958, 40.962362, @houtz @DolfanNeil Definitely, QB’s always go higher than expected
OlagueRicardo, Tue Apr 21 15:01:48 +0000 2020, -88.614593, 41.646608, strangers again
keideberry3, Tue Apr 21 15:01:48 +0000 2020, -78.613697, 35.690305, @Kaalopp dese niggas trolling 😹😹
M4MHtown, Tue Apr 21 15:01:48 +0000 2020, -95.446486, 29.838495, https://t.co/J4dBNzWQ7h
leiilayy, Tue Apr 21 15:01:48 +0000 2020, -95.446486, 29.838495, Better make his ass play football.
JayyNovaa, Tue Apr 21 15:01:48 +0000 2020, -121.873730, 37.331159, House 3 easily. I’d choose the least craziest ex or the one I lowkey still be havin feelings for. A six figure sala… https://t.co/8Uiu4bxpJe
JTaggart02, Tue Apr 21 15:01:48 +0000 2020, -77.688536, 43.251452, Blessed! 2x AGR!
MotherSquid, Tue Apr 21 15:01:48 +0000 2020, -83.804475, 27.698682, @MiladySkye @MyattDayMun @johnpavlovitz @PressSec Well family name was drumpf... https://t.co/tYMr8NavMi
TheArrohh, Tue Apr 21 15:01:49 +0000 2020, -97.092491, 31.805264, Dm me guys
In_Dior, Tue Apr 21 15:01:46 +0000 2020, -76.808819, 38.841349, @Amour_Gab Oh no sis this was pureeeee shade!!!! He threw it gracefully at the end with the tests that we know the Cheeto can’t obtain!
Qns4M, Tue Apr 21 15:01:49 +0000 2020, -82.573675, 27.473975, What is more important than living?...if your dead, nothing else matters! This guy has a job? What a fucking moron.… https://t.co/qAFlBC83Y6
feeltheessence, Tue Apr 21 15:01:49 +0000 2020, -121.873730, 37.331159, You make me mad
RizzyRouse, Tue Apr 21 15:01:49 +0000 2020, -85.223973, 35.002966, @_Knabb_ You too scared!!!
oceanman61, Tue Apr 21 15:01:49 +0000 2020, -100.076888, 31.168893, @ASavageNation @TinaAmber7 @richardcavessa I did not know they all had the same agent.  That makes sense.
paaigeyPAIGE, Tue Apr 21 15:01:49 +0000 2020, -75.323899, 39.878068, @swampeyedgirl Same and same
VillaVRestate, Tue Apr 21 15:01:49 +0000 2020, -80.039400, 26.715100, #travelagent #captainqueen #valentinaaved #12018384838 @ Palm Beach, Florida https://t.co/4cRaL7ggkR
i_razieh, Tue Apr 21 15:01:49 +0000 2020, -117.887439, 33.739992, ولی حواستون هست #کرونا شده تقابل نان و جان🥺
kelly_kintner, Tue Apr 21 15:01:49 +0000 2020, -98.191759, 33.818415, To be honest, being #bipolar is a superpower. It sucks, but I’m #grateful for it too. Once I started #recovery, I w… https://t.co/wuShLyBE0O
DiamondKiingXXL, Tue Apr 21 15:01:49 +0000 2020, -84.314792, 33.706392, @MrMrslimkat 🙃
GiveEmMoZo, Tue Apr 21 15:01:49 +0000 2020, -122.330602, 47.614817, In the suit too 🔥🤧
CoachIJones357, Tue Apr 21 15:01:49 +0000 2020, -77.229267, 38.697014, FAIRFAX STARS PSA APRIL 10-30, 2020 https://t.co/kwWqw13GGN
breionamakall, Tue Apr 21 15:01:49 +0000 2020, -93.809434, 32.461107, Weird flex , but ok .
Kinnare786, Tue Apr 21 15:01:50 +0000 2020, -96.734900, 33.061243, Is this true ? @OfficialDGISPR
