username, created_at, lng, lat, text
connieluna05, Tue Apr 21 14:32:03 +0000 2020, -96.986600, 32.967300, Furlough-Day 1:1. Planted Eggplant &amp; Cucumber plants.2. Watered garden, pinched off suckers on tomato plants.Luf… https://t.co/m4hf7s1l6G
TheNabilaKhan, Tue Apr 21 14:32:03 +0000 2020, -90.011008, 29.982601, I wanna do a Photoshoot but all on film.  Raw material.
katierosepstein, Tue Apr 21 14:32:03 +0000 2020, -93.361321, 46.441861, I miss sports so much
Offdutyninja_, Tue Apr 21 14:32:03 +0000 2020, -82.442694, 27.996595, @RetiredATP Oh shit you right
MuggaFaizon, Tue Apr 21 14:32:03 +0000 2020, -77.014398, 38.898603, @KaysWay0 The roof of your mouth*
heysaiii, Tue Apr 21 14:32:03 +0000 2020, -73.948775, 40.655138, content recording day 🥳
JusAGuyinToms22, Tue Apr 21 14:32:03 +0000 2020, -95.446486, 29.838495, @IssaB0ss @GorillaMamaWho 😭😭😭 https://t.co/B8uwE1h1zi
zappafaye, Tue Apr 21 14:32:03 +0000 2020, -82.921168, 41.512646, #GoodMorningWorld 🌞🌎It's a windy day on Lake Erie 🌊🌬️ https://t.co/ffign4oduJ
notKenny7, Tue Apr 21 14:32:03 +0000 2020, -100.365274, 25.807314, @EmillySwaven @TheKalenAllen @JimJorgensen10
BurriCecilia, Tue Apr 21 14:32:03 +0000 2020, -97.454799, 32.761695, @laineyberly @gosforthgal Dangerous phucking people
Heartdoc530, Tue Apr 21 14:32:03 +0000 2020, -117.035027, 32.985291, @fitmslax Always thoughtful and creative!
_whatagoddess, Tue Apr 21 14:32:03 +0000 2020, -83.173867, 32.678207, LMFAOOOOOO
Gezzy504, Tue Apr 21 14:32:04 +0000 2020, -90.178629, 30.001244, Cold blooded
ayejen_blossoms, Tue Apr 21 14:32:04 +0000 2020, -83.804475, 27.698682, born &amp; raised in chicago but now i live in florida
LeAnn4592, Tue Apr 21 14:32:04 +0000 2020, -85.923699, 39.892098, Don’t forget to order your pandemic and be kind personalized shirts from Sweets Ts and Gofts off Facebook! https://t.co/fjXVNUfEf8
OGO51111, Tue Apr 21 14:32:04 +0000 2020, -82.330269, 29.673172, Sarcasm or no? The comments are 🔥:
